Location,year,month,avg_power,avg_wind_speed_100m,avg_wind_speed_10m,avg_temperature_2m,reading_count
4,2013,3,0.37068405804301074,7.532019847700268,4.833816588391129,32.168981940521505,744
4,2013,4,0.34983130271944446,7.374424417541666,4.753444724556944,48.805850219999996,720
4,2013,5,0.2655065043548387,6.685904256080645,4.35919293244086,54.426643230752696,744
4,2013,6,0.2574158860333333,6.592299417316667,4.203430835670834,67.63418355333333,720
4,2013,7,0.111186612,5.096280599803764,3.235550459322581,69.97812172537634,744
4,2013,8,0.1439095958252688,5.6081085569018825,3.5683864808279573,65.5649496823656,744
4,2013,9,0.16733769164166667,6.085729972638888,3.7072780578888893,64.33279466444445,720
4,2013,10,0.30936886987096773,7.763915009091398,4.944636480827957,53.16172387591398,744
4,2013,11,0.3115928305166667,7.412813306468056,4.636291946777778,34.99223910888889,720
4,2013,12,0.29581093986021506,7.131455331498656,4.640631104501344,21.06118624233871,744
4,2014,1,0.34064292917204303,7.578767159532258,4.643305835666666,19.654600221032258,744
4,2014,2,0.2858621064404762,6.983796441220239,4.315433811857143,20.95861807822619,672
4,2014,3,0.3030188699919355,6.64615963235215,4.299784330294355,31.82946581139785,744
4,2014,4,0.27447755278611113,6.846646639647222,4.3589169468055555,35.26057244223889,720
4,2014,5,0.17554171955107528,5.809412320346775,3.647620351795699,62.35070237053764,744
4,2014,6,0.21315880266666667,6.242257750487499,4.0548613912222224,68.04251688666666,720
4,2014,7,0.14244561758064517,5.302893503098118,3.4015316421182793,71.46172387591398,744
4,2014,8,0.11902868206989246,5.254976836483871,3.344488631365591,70.8165625855914,744
4,2014,9,0.17558380272500002,6.0709105282777776,3.764500280111111,62.95557244222222,720
4,2014,10,0.28407209581989246,7.1442241486989255,4.5154429324489245,47.13591742430108,744
4,2014,11,0.26433935840833334,6.377327195131945,4.2200836134458335,30.04598910888889,720
4,2014,12,0.25848378938709676,6.473054793715054,3.9290450829784946,26.620729252381718,744
4,2015,1,0.2998245151155914,7.147127374489248,4.432324652875,14.710110973478493,744
4,2015,2,0.28607341617559523,7.421757750949405,4.724064764264881,17.984362125839283,672
4,2015,3,0.31998567106720427,6.993901568086022,4.3726069109368275,28.514277639876344,744
4,2015,4,0.3533950526861111,7.319368861961111,4.675514169005556,44.41154466444444,720
4,2015,5,0.22497895065053763,6.380447266776882,4.072781642122312,53.951643230752694,744
4,2015,6,0.20723824733055554,5.81847997275139,3.728541946777778,64.75862799777778,720
4,2015,7,0.1624726336075269,5.399251030008064,3.524381104483871,73.69613247806453,744
4,2015,8,0.11767801067473119,4.7979472665672045,3.103346158247312,68.50097118774194,744
4,2015,9,0.21841602508055555,6.921979972955555,4.399000280111111,65.49460022,720
4,2015,10,0.3056099989731183,7.593874686454302,4.783856910943548,46.24667011247312,744
4,2015,11,0.2433111639638889,6.752785528402778,4.116708613454167,29.312933553455554,720
4,2015,12,0.298695079639785,7.061603180831989,4.413467125989247,28.84855183306989,744
4,2016,1,0.2643845959543011,6.8294660843077954,4.2200128249139786,24.05352495158602,744
4,2016,2,0.32071169080459766,7.874624130363506,4.6968259506106325,19.975002519568964,696
