key,farm,country,cap_op_MW,cap_2050_MW,turb_type,hub_z_m,lat,lon,grid_ix,grid_iy,grid_lat,grid_lon
future038,Future_038,DE,,285.0,IEA15,150,54.2691,6.3033,127.0,179.0,54.2699,6.2874
future039,Future_039,DE,,240.0,IEA15,150,55.2141,6.8782,138.0,222.0,55.2094,6.8658
future040,Future_040,DE,,1020.0,IEA15,150,54.9888,5.5942,107.0,209.0,54.9786,5.6097
future041,Future_041,DE,,585.0,IEA15,150,55.1952,5.2051,96.0,218.0,55.1986,5.2056
future042,Future_042,DE,,930.0,IEA15,150,54.6347,5.1032,95.0,193.0,54.6401,5.097
future044,Future_044,DE,,240.0,DTU10,119,54.0474,6.2342,126.0,169.0,54.048,6.216
future045,Future_045,DE,,110.0,DTU10,119,54.0305,6.1599,125.0,168.0,54.0275,6.1746
future046,Future_046,DE,,30.0,DTU10,119,54.0171,7.1187,150.0,170.0,54.0206,7.134
future047,Future_047,DE,,10.0,DTU10,119,54.0894,7.1039,149.0,173.0,54.0899,7.1072
future048,Future_048,DE,,230.0,DTU10,119,54.0438,7.077,148.0,171.0,54.0474,7.0616
future049,Future_049,DE,,330.0,DTU10,119,55.0559,6.9333,140.0,215.0,55.0487,6.9178
future051,Future_051,DE,,480.0,DTU10,119,54.6047,6.173,123.0,194.0,54.6135,6.1834
future052,Future_052,DE,,230.0,DTU10,119,54.0686,6.8947,144.0,172.0,54.0784,6.9128
future053,Future_053,DE,,270.0,DTU10,119,54.0281,6.8485,143.0,170.0,54.0358,6.8674
future054,Future_054,DE,,20.0,DTU10,119,54.0876,6.7729,140.0,172.0,54.0869,6.7603
future055,Future_055,DE,,50.0,DTU10,119,55.0959,6.9191,140.0,217.0,55.0934,6.9253
future056,Future_056,DE,,130.0,DTU10,119,54.0377,6.7659,140.0,170.0,54.0422,6.7531
future057,Future_057,DE,,80.0,DTU10,119,54.0407,6.7797,141.0,170.0,54.04,6.7912
future058,Future_058,DE,,20.0,DTU10,119,54.5565,6.35,128.0,192.0,54.5589,6.3698
future060,Future_060,DE,,80.0,DTU10,119,54.056,6.1273,124.0,169.0,54.0518,6.1397
future061,Future_061,DE,,20.0,DTU10,119,54.0701,6.2719,127.0,170.0,54.0684,6.2574
globaltechi,Global Tech I,DE,400.0,400.0,Senvion-5,90,54.509,6.3649,128.0,190.0,54.5142,6.363
godewind1,Gode Wind 1,DE,330.0,330.0,REF-6.0,110,54.0161,6.985,146.0,169.0,54.007,6.978
godewindii,Gode Wind II,DE,252.0,252.0,REF-6.0,110,54.0758,7.0077,146.0,172.0,54.0741,6.9891
hohesee,Hohe See,DE,426.0,426.0,REF-6.0,105,54.4434,6.33,127.0,187.0,54.449,6.3143
kaskasi,Kaskasi,DE,,140.0,DTU10,119,54.4903,7.699,162.0,192.0,54.4848,7.6798
meerwindsudost,Meerwind Sud/Ost,DE,288.0,288.0,SWT-3.6-120,89,54.3922,7.7042,163.0,188.0,54.393,7.7018
merkur,Merkur,DE,396.0,396.0,Haliade-6,103,54.0431,6.5538,135.0,170.0,54.0525,6.5625
nordseeone,Nordsee One,DE,332.1,332.1,Senvion-6.2,100,53.9817,6.8175,142.0,167.0,53.9708,6.8185
nordseeost,Nordsee Ost,DE,295.2,295.2,Senvion-6.2,97,54.4445,7.6825,162.0,190.0,54.4401,7.6716
riffgat,Riffgat,DE,108.0,108.0,SWT-3.6-120,90,53.6924,6.4755,134.0,154.0,53.6964,6.4696
sandbankn,Sand Bank (N),DE,124.0,124.0,SWT-4.0-130,95,55.2583,6.8295,137.0,224.0,55.2563,6.8341
sandbanks,Sandbank (S),DE,164.0,164.0,SWT-4.0-130,95,55.1575,6.8692,138.0,220.0,55.1647,6.8584
trianelborkum2e,Trianel Borkum 2 (E),DE,98.4,98.4,Senvion-6.2,105,54.0687,6.4928,133.0,171.0,54.0789,6.4897
trianelborkum2w,Trianel Borkum 2 (W),DE,98.4,98.4,Senvion-6.2,105,54.0342,6.4381,132.0,169.0,54.0362,6.4447
trianelborkumi,Trianel Borkum I,DE,200.0,200.0,Senvion-5,90,54.0462,6.4576,132.0,169.0,54.0362,6.4447
